2023-01-30 10:37:31.2667||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2023-01-30 10:37:31.3992||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2023-01-30 10:37:32.6077||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-01-30 10:37:32.6149||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-01-30 10:37:32.6149||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-01-30 10:37:32.6363||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-01-30 10:37:32.6363||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2023-01-30 10:37:32.6630||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:f090fd3d has started in 17.7383 ms |url: |action: 
2023-01-30 10:37:32.7765||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:06dfdd72 is announcing itself... |url: |action: 
2023-01-30 10:37:32.8628||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:06dfdd72 successfully announced in 85.0241 ms |url: |action: 
2023-01-30 10:37:32.8628||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:dc54dcf5 has started in 8.5243 ms |url: |action: 
2023-01-30 10:37:32.8628||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:06dfdd72 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-01-30 10:37:32.8814||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:b0dbc489 has started in 6.7391 ms |url: |action: 
2023-01-30 10:37:32.8814||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:7a96f0fb has started in 9.9779 ms |url: |action: 
2023-01-30 10:37:32.8814||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:21216:06dfdd72 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-01-30 10:37:32.8814||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-01-30 10:37:32.8958||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout |url: |action: 
2023-01-30 10:37:32.8958||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:9212fc5b has started in 20.8208 ms |url: |action: 
2023-01-30 10:37:32.9138||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-01-30 10:37:32.9138||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:cc7daf89 has started in 27.632 ms |url: |action: 
2023-01-30 10:37:32.9138||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:58f8c2d6 has started in 20.5491 ms |url: |action: 
2023-01-30 10:37:32.9664||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:260b3f00 has started in 72.1875 ms |url: |action: 
2023-01-30 10:37:32.9664||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:419a8547 has started in 73.2436 ms |url: |action: 
2023-01-30 10:37:33.0580||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-01-30 10:37:33.0797||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b88e8f33 has started in 186.5123 ms |url: |action: 
2023-01-30 10:37:33.0797||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 538 outdated record(s) from 'counter' table. |url: |action: 
2023-01-30 10:37:33.0797||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7b0363d2 has started in 197.4489 ms |url: |action: 
2023-01-30 10:37:33.1018||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1c92c130 has started in 208.5758 ms |url: |action: 
2023-01-30 10:37:33.1018||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ebd0369e has started in 216.1927 ms |url: |action: 
2023-01-30 10:37:33.1378||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:60084631 has started in 244.5301 ms |url: |action: 
2023-01-30 10:37:33.1460||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:97d76d75 has started in 252.7451 ms |url: |action: 
2023-01-30 10:37:33.1858||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5a26a9a4 has started in 292.6044 ms |url: |action: 
2023-01-30 10:37:33.2227||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ec413d42 has started in 329.381 ms |url: |action: 
2023-01-30 10:37:33.2995||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:508b0995 has started in 406.2319 ms |url: |action: 
2023-01-30 10:37:33.4531||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ce5ec0cc has started in 558.2683 ms |url: |action: 
2023-01-30 10:37:33.4691||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e0306547 has started in 575.8312 ms |url: |action: 
2023-01-30 10:37:33.4957||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:25c8776c has started in 602.4459 ms |url: |action: 
2023-01-30 10:37:33.6021||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:12bcf8e4 has started in 708.7068 ms |url: |action: 
2023-01-30 10:37:33.6146||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e4af6454 has started in 721.3867 ms |url: |action: 
2023-01-30 10:37:33.6730||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c18ec774 has started in 779.0488 ms |url: |action: 
2023-01-30 10:37:33.6730||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:fdbcef12 has started in 782.4177 ms |url: |action: 
2023-01-30 10:37:33.7054||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:4c74b644 has started in 69.3033 ms |url: |action: 
2023-01-30 10:37:33.7054||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:06dfdd72 all the dispatchers started |url: |action: 
2023-01-30 10:37:33.7480||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:ff3ad267 has started in 47.0024 ms |url: |action: 
2023-01-30 10:37:33.7627||TRACE|Hangfire.RecurringJobManager|Recurring job 'Deadline' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-30T03:37:32.8350427Z;NextExecution:2023-01-30T03:40:00.0000000Z;V:2), NextExecution: (1/30/2023 3:40:00 AM) |url: |action: 
2023-01-30 10:37:33.7866||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-01-30 10:37:33.7866||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-01-30 10:37:33.7866||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-01-30 10:37:33.7866||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-01-30 10:37:33.7866||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:30
    Schedule polling interval: 00:00:15 |url: |action: 
2023-01-30 10:37:33.8019||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:00f727ef has started in 12.3306 ms |url: |action: 
2023-01-30 10:37:33.8019||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:20f891aa is announcing itself... |url: |action: 
2023-01-30 10:37:33.8019||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:20f891aa successfully announced in 4.6469 ms |url: |action: 
2023-01-30 10:37:33.8174||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21216:20f891aa is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-01-30 10:37:33.8174||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:4f8f3251 has started in 16.8176 ms |url: |action: 
2023-01-30 10:37:33.8174||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:21216:20f891aa waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-01-30 10:37:33.8375||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:36e8a01b has started in 17.7925 ms |url: |action: 
2023-01-30 10:37:33.8474||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:a6ede6e8 has started in 17.1824 ms |url: |action: 
2023-01-30 10:37:33.8474||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-01-30 10:37:33.8474||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:1459742a has started in 24.2761 ms |url: |action: 
2023-01-30 10:37:33.8474||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-01-30 10:37:33.8474||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-01-30 10:37:33.8678||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:04f5f660 has started in 31.8175 ms |url: |action: 
2023-01-30 10:37:33.8678||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'job'... |url: |action: 
2023-01-30 10:37:33.8820||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8d34ae18 has started in 46.0286 ms |url: |action: 
2023-01-30 10:37:33.8820||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:3ae3a7d7 has started in 53.5162 ms |url: |action: 
2023-01-30 10:37:33.8820||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e285f506 has started in 53.4962 ms |url: |action: 
2023-01-30 10:37:33.9111||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:12b2fefe has started in 75.0114 ms |url: |action: 
2023-01-30 10:37:33.9307||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:91070008 has started in 94.7643 ms |url: |action: 
2023-01-30 10:37:33.9307||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7975f07d has started in 95.1427 ms |url: |action: 
2023-01-30 10:37:33.9646||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:3d408dcc has started in 128.5337 ms |url: |action: 
2023-01-30 10:37:33.9720||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:54ddd556 has started in 136.0827 ms |url: |action: 
2023-01-30 10:37:33.9720||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 211 outdated record(s) from 'job' table. |url: |action: 
2023-01-30 10:37:33.9889||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:af13bcab has started in 152.9029 ms |url: |action: 
2023-01-30 10:37:34.0021||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:feadc12e has started in 165.4866 ms |url: |action: 
2023-01-30 10:37:34.0021||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1478e15c has started in 172.7759 ms |url: |action: 
2023-01-30 10:37:34.0021||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'EVMDaily' is being updated. RecurringJob: (Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-11T06:09:11.7098468Z;V:2;Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;LastExecution:2023-01-19T08:00:02.0509227Z;NextExecution:2023-01-19T08:10:00.0000000Z;LastJobId:4838), Changes: (LastExecution:2023-01-30T03:37:33.7582440Z;NextExecution:2023-01-30T03:40:00.0000000Z;LastJobId:4844), NextExecution: (1/30/2023 3:40:00 AM) |url: |action: 
2023-01-30 10:37:34.0021||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b5ebbe4a has started in 179.2157 ms |url: |action: 
2023-01-30 10:37:34.0213||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e3afa552 has started in 185.296 ms |url: |action: 
