2023-04-12 09:11:02.6927|48|ERROR|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|An error occurred while reading the key ring. System.Xml.XmlException: '.', hexadecimal value 0x00, is an invalid character. Line 1, position 1.
   at System.Xml.XmlTextReaderImpl.Throw(Exception e)
   at System.Xml.XmlTextReaderImpl.Throw(String res, String[] args)
   at System.Xml.XmlTextReaderImpl.ParseRootLevelWhitespace()
   at System.Xml.XmlTextReaderImpl.ParseDocumentContent()
   at System.Xml.XmlTextReaderImpl.Read()
   at System.Xml.XmlReader.MoveToContent()
   at System.Xml.Linq.XElement.Load(XmlReader reader, LoadOptions options)
   at System.Xml.Linq.XElement.Load(Stream stream, LoadOptions options)
   at System.Xml.Linq.XElement.Load(Stream stream)
   at Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository.ReadElementFromFile(String fullPath)
   at Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository.GetAllElementsCore()+MoveNext()
   at System.Collections.Generic.List`1.AddEnumerable(IEnumerable`1 enumerable)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository.GetAllElements()
   at Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager.GetAllKeys()
   at Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider.CreateCacheableKeyRingCore(DateTimeOffset now, IKey keyJustAdded)
   at Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider.Microsoft.AspNetCore.DataProtection.KeyManagement.Internal.ICacheableKeyRingProvider.GetCacheableKeyRing(DateTimeOffset now)
   at Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider.GetCurrentKeyRingCore(DateTime utcNow)|url: |action: 
2023-04-12 09:11:04.2646||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2023-04-12 09:11:04.3988||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2023-04-12 09:11:05.4004||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-04-12 09:11:05.4004||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-04-12 09:11:05.4116||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-04-12 09:11:05.4116||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-04-12 09:11:05.4116||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2023-04-12 09:11:05.4443||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:c9a51d24 has started in 14.8596 ms |url: |action: 
2023-04-12 09:11:05.4815||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:17964:978630f8 is announcing itself... |url: |action: 
2023-04-12 09:11:05.5544||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:17964:978630f8 successfully announced in 71.6752 ms |url: |action: 
2023-04-12 09:11:05.5666||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:92d913d2 has started in 9.72 ms |url: |action: 
2023-04-12 09:11:05.5666||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:17964:978630f8 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-04-12 09:11:05.5666||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:6c5d362b has started in 4.1765 ms |url: |action: 
2023-04-12 09:11:05.6131||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:a129a40b has started in 44.5812 ms |url: |action: 
2023-04-12 09:11:05.6131||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:17964:978630f8 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-04-12 09:11:05.6131||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-04-12 09:11:05.6131||INFO|Hangfire.Server.ServerWatchdog|4 servers were removed due to timeout |url: |action: 
2023-04-12 09:11:05.6300||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:8ff1c21e has started in 16.5594 ms |url: |action: 
2023-04-12 09:11:05.6423||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c520a93a has started in 21.4157 ms |url: |action: 
2023-04-12 09:11:05.6423||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2a273653 has started in 32.3628 ms |url: |action: 
2023-04-12 09:11:05.6572||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-04-12 09:11:05.6572||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:73458765 has started in 42.8792 ms |url: |action: 
2023-04-12 09:11:05.6714||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ac61801d has started in 50.6049 ms |url: |action: 
2023-04-12 09:11:05.6714||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:9321d4d2 has started in 57.193 ms |url: |action: 
2023-04-12 09:11:05.7232||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-04-12 09:11:05.7482||TRACE|Hangfire.RecurringJobManager|Recurring job 'Deadline' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-04-12T02:11:05.5226850Z;NextExecution:2023-04-12T02:20:00.0000000Z;V:2), NextExecution: (4/12/2023 2:20:00 AM) |url: |action: 
2023-04-12 09:11:05.7988||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:57554d20 has started in 178.0039 ms |url: |action: 
2023-04-12 09:11:05.8313||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7a712eee has started in 209.9212 ms |url: |action: 
2023-04-12 09:11:05.8567||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e509e704 has started in 235.8856 ms |url: |action: 
2023-04-12 09:11:05.8567||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:3fa0c948 has started in 236.0034 ms |url: |action: 
2023-04-12 09:11:05.8990||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8f9686c8 has started in 278.1884 ms |url: |action: 
2023-04-12 09:11:05.9399||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 152 outdated record(s) from 'counter' table. |url: |action: 
2023-04-12 09:11:05.9399||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:34d3a17f has started in 319.0727 ms |url: |action: 
2023-04-12 09:11:05.9706||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:52322aea has started in 349.735 ms |url: |action: 
2023-04-12 09:11:05.9706||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:a59f42bf has started in 360.4658 ms |url: |action: 
2023-04-12 09:11:06.0061||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:049bf5a4 has started in 385.3203 ms |url: |action: 
2023-04-12 09:11:06.0214||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:a6c2d77c has started in 400.4165 ms |url: |action: 
2023-04-12 09:11:06.1216||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:fbddafe6 has started in 500.8094 ms |url: |action: 
2023-04-12 09:11:06.1873||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2c94f54f has started in 566.4783 ms |url: |action: 
2023-04-12 09:11:06.2340||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:a5c6838e has started in 613.2339 ms |url: |action: 
2023-04-12 09:11:06.2651||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e0ed9204 has started in 644.3042 ms |url: |action: 
2023-04-12 09:11:06.2804||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f5da07d0 has started in 659.4635 ms |url: |action: 
2023-04-12 09:11:06.3253||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:2db3ccaa has started in 60.3993 ms |url: |action: 
