2022-12-26 08:48:23.4381||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2022-12-26 08:48:23.5543||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2022-12-26 08:48:24.3654||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2022-12-26 08:48:24.4021||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2022-12-26 08:48:24.4021||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2022-12-26 08:48:24.4520||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2022-12-26 08:48:24.4520||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2022-12-26 08:48:24.5094||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:85829174 has started in 20.7698 ms |url: |action: 
2022-12-26 08:48:24.5434||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:20676:a74cc769 is announcing itself... |url: |action: 
2022-12-26 08:48:24.6997||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:20676:a74cc769 successfully announced in 155.1378 ms |url: |action: 
2022-12-26 08:48:24.6997||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:4275c8ce has started in 7.8004 ms |url: |action: 
2022-12-26 08:48:24.6997||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:20676:a74cc769 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2022-12-26 08:48:24.7195||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:5e09e567 has started in 8.6586 ms |url: |action: 
2022-12-26 08:48:24.7195||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:6182605b has started in 11.4325 ms |url: |action: 
2022-12-26 08:48:24.7290||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:93470435 has started in 9.5601 ms |url: |action: 
2022-12-26 08:48:24.7290||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
