2022-12-07 13:38:43.7145||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2022-12-07 13:38:43.8079||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2022-12-07 13:38:44.5810||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2022-12-07 13:38:44.5998||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2022-12-07 13:38:44.5998||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2022-12-07 13:38:44.6305||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2022-12-07 13:38:44.6305||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2022-12-07 13:38:44.6545||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:bd01706c has started in 11.5218 ms |url: |action: 
2022-12-07 13:38:44.7030||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18088:712ddac6 is announcing itself... |url: |action: 
2022-12-07 13:38:44.7887||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18088:712ddac6 successfully announced in 79.8654 ms |url: |action: 
2022-12-07 13:38:44.8065||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:729110e8 has started in 15.1133 ms |url: |action: 
2022-12-07 13:38:44.8065||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18088:712ddac6 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2022-12-07 13:38:44.8178||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18088:712ddac6 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2022-12-07 13:38:44.8178||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:65ac0ddf has started in 8.8941 ms |url: |action: 
2022-12-07 13:38:44.8324||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout |url: |action: 
2022-12-07 13:38:44.8324||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:9e4eb449 has started in 22.0029 ms |url: |action: 
2022-12-07 13:38:44.8438||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2022-12-07 13:38:44.8438||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:0d334dbd has started in 7.5667 ms |url: |action: 
2022-12-07 13:38:44.8438||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5a1eaa59 has started in 14.5023 ms |url: |action: 
2022-12-07 13:38:44.8561||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5eb70b6f has started in 18.2814 ms |url: |action: 
2022-12-07 13:38:44.8561||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2022-12-07 13:38:44.8561||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2022-12-07 13:38:44.8561||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:9b3c1b97 has started in 26.9933 ms |url: |action: 
