2023-02-01 08:57:48.3846||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2023-02-01 08:57:48.5000||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2023-02-01 08:57:49.3497||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-02-01 08:57:49.4455||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-02-01 08:57:49.4455||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-02-01 08:57:49.4642||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-02-01 08:57:49.4642||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2023-02-01 08:57:49.5652||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:3328efa6 has started in 59.8754 ms |url: |action: 
2023-02-01 08:57:49.5974||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:425b380b is announcing itself... |url: |action: 
2023-02-01 08:57:49.7145||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:425b380b successfully announced in 115.4178 ms |url: |action: 
2023-02-01 08:57:49.7255||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:93a20bda has started in 8.4582 ms |url: |action: 
2023-02-01 08:57:49.7255||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:425b380b is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-02-01 08:57:49.7255||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:17455455 has started in 6.1493 ms |url: |action: 
2023-02-01 08:57:49.7255||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:cd853284 has started in 5.6103 ms |url: |action: 
2023-02-01 08:57:49.7379||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-01 08:57:49.7379||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:b3141c6e has started in 4.9105 ms |url: |action: 
2023-02-01 08:57:49.7379||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:7684:425b380b waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-01 08:57:49.7379||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout |url: |action: 
2023-02-01 08:57:49.7379||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:0578aadd has started in 16.9917 ms |url: |action: 
2023-02-01 08:57:49.7616||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-02-01 08:57:49.7616||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c8529138 has started in 28.5104 ms |url: |action: 
2023-02-01 08:57:49.7820||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 186 outdated record(s) from 'counter' table. |url: |action: 
2023-02-01 08:57:49.7832||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b24f61cf has started in 49.1742 ms |url: |action: 
2023-02-01 08:57:49.7832||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:80aed4ea has started in 61.3602 ms |url: |action: 
2023-02-01 08:57:49.8001||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ba80c41c has started in 66.2654 ms |url: |action: 
2023-02-01 08:57:49.8150||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:50ae1ec4 has started in 81.1702 ms |url: |action: 
2023-02-01 08:57:49.8343||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-01 08:57:49.8516||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:99173983 has started in 117.7406 ms |url: |action: 
2023-02-01 08:57:49.8810||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:677bba41 has started in 147.1397 ms |url: |action: 
2023-02-01 08:57:49.9136||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:6befde2e has started in 179.7422 ms |url: |action: 
2023-02-01 08:57:49.9537||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:32c7e7ab has started in 219.8388 ms |url: |action: 
2023-02-01 08:57:49.9537||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c78ed92c has started in 229.9989 ms |url: |action: 
2023-02-01 08:57:50.0196||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2b2f3062 has started in 285.7602 ms |url: |action: 
2023-02-01 08:57:50.1138||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:104bf887 has started in 379.9604 ms |url: |action: 
2023-02-01 08:57:50.2204||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:902fb5a5 has started in 486.5893 ms |url: |action: 
2023-02-01 08:57:50.2204||TRACE|Hangfire.RecurringJobManager|Recurring job 'Deadline' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-02-01T01:57:49.6595491Z;NextExecution:2023-02-01T02:00:00.0000000Z;V:2), NextExecution: (2/1/2023 2:00:00 AM) |url: |action: 
2023-02-01 08:57:50.2517||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b676db3b has started in 517.9297 ms |url: |action: 
2023-02-01 08:57:50.3607||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:d8cd364a has started in 626.9184 ms |url: |action: 
2023-02-01 08:57:50.3973||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-02-01 08:57:50.3973||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-02-01 08:57:50.3973||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-02-01 08:57:50.3973||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-02-01 08:57:50.3973||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:30
    Schedule polling interval: 00:00:15 |url: |action: 
2023-02-01 08:57:50.4143||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:08e085d6 has started in 680.5371 ms |url: |action: 
2023-02-01 08:57:50.5670||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:92a49060 has started in 833.159 ms |url: |action: 
2023-02-01 08:57:50.5670||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:abb60979 has started in 833.159 ms |url: |action: 
2023-02-01 08:57:50.5670||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:f9797144 has started in 167.5341 ms |url: |action: 
2023-02-01 08:57:50.5670||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1b995398 has started in 833.1617 ms |url: |action: 
2023-02-01 08:57:50.5807||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:16469053 is announcing itself... |url: |action: 
2023-02-01 08:57:50.5807||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:425b380b all the dispatchers started |url: |action: 
2023-02-01 08:57:50.5807||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:16469053 successfully announced in 8.4081 ms |url: |action: 
2023-02-01 08:57:50.5974||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:31d45800 has started in 95.7391 ms |url: |action: 
2023-02-01 08:57:50.5974||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:2e051d1a has started in 39.4032 ms |url: |action: 
2023-02-01 08:57:50.6194||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:7239c131 has started in 25.698 ms |url: |action: 
2023-02-01 08:57:50.6194||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:7684:16469053 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-01 08:57:50.6194||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:7684:16469053 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-02-01 08:57:50.6458||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:12fea2c9 has started in 20.7087 ms |url: |action: 
2023-02-01 08:57:50.6627||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:bd01dbad has started in 31.6018 ms |url: |action: 
2023-02-01 08:57:50.6627||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-01 08:57:50.6627||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-01 08:57:50.7183||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:e2fb9a76 has started in 72.2521 ms |url: |action: 
2023-02-01 08:57:50.7553||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-02-01 08:57:50.7842||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'job'... |url: |action: 
2023-02-01 08:57:50.8141||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b65f02f2 has started in 151.3714 ms |url: |action: 
2023-02-01 08:57:50.8141||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'job'... |url: |action: 
2023-02-01 08:57:50.8141||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 179 outdated record(s) from 'job' table. |url: |action: 
2023-02-01 08:57:50.8311||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'list'... |url: |action: 
2023-02-01 08:57:50.8534||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f8fdfe5d has started in 189.597 ms |url: |action: 
2023-02-01 08:57:50.8534||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'set'... |url: |action: 
2023-02-01 08:57:50.8703||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'hash'... |url: |action: 
2023-02-01 08:57:50.8957||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5975f029 has started in 232.954 ms |url: |action: 
2023-02-01 08:57:50.9121||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:11331a44 has started in 249.3432 ms |url: |action: 
2023-02-01 08:57:50.9285||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f8d548a8 has started in 264.9633 ms |url: |action: 
2023-02-01 08:57:50.9285||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b8a0f509 has started in 272.2622 ms |url: |action: 
2023-02-01 08:57:50.9463||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e82998e9 has started in 283.5611 ms |url: |action: 
2023-02-01 08:57:50.9463||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Cảnh báo hạn báo cáo' is being updated. RecurringJob: (Queue:default;Cron:*/2 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-06T03:27:30.0981312Z;V:2;LastExecution:2023-01-30T10:32:00.8695924Z;NextExecution:2023-01-30T10:34:00.0000000Z;LastJobId:5021), Changes: (LastExecution:2023-02-01T01:57:50.6459617Z;NextExecution:2023-02-01T01:58:00.0000000Z;LastJobId:5023), NextExecution: (2/1/2023 1:58:00 AM) |url: |action: 
2023-02-01 08:57:50.9599||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:76e8282b has started in 296.0781 ms |url: |action: 
