2023-01-17 09:46:56.1489||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2023-01-17 09:46:56.2650||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2023-01-17 09:46:57.0969||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-01-17 09:46:57.1061||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-01-17 09:46:57.1061||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-01-17 09:46:57.1436||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-01-17 09:46:57.1436||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2023-01-17 09:46:57.1749||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:fe40fdd3 has started in 21.7229 ms |url: |action: 
2023-01-17 09:46:57.2086||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:25588223 is announcing itself... |url: |action: 
2023-01-17 09:46:57.2886||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:25588223 successfully announced in 77.9206 ms |url: |action: 
2023-01-17 09:46:57.3026||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:6826607c has started in 11.4045 ms |url: |action: 
2023-01-17 09:46:57.3093||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:25588223 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-01-17 09:46:57.3093||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:6ba0ffe8 has started in 5.4004 ms |url: |action: 
2023-01-17 09:46:57.3093||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:1684:25588223 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-01-17 09:46:57.3093||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:fa8a83a0 has started in 10.135 ms |url: |action: 
2023-01-17 09:46:57.3093||INFO|Hangfire.Server.ServerWatchdog|6 servers were removed due to timeout |url: |action: 
2023-01-17 09:46:57.3284||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-01-17 09:46:57.3284||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:43effb85 has started in 5.9038 ms |url: |action: 
2023-01-17 09:46:57.3284||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:d589835b has started in 13.3549 ms |url: |action: 
2023-01-17 09:46:57.3428||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:6f3da405 has started in 18.1361 ms |url: |action: 
2023-01-17 09:46:57.3428||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2023-01-17 09:46:57.3428||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:21a3d8af has started in 22.9269 ms |url: |action: 
2023-01-17 09:46:57.3428||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-01-17 09:46:57.3428||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ab402325 has started in 24.6873 ms |url: |action: 
2023-01-17 09:46:57.3428||TRACE|Hangfire.RecurringJobManager|Recurring job 'Deadline' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-17T02:46:57.2418601Z;NextExecution:2023-01-17T02:50:00.0000000Z;V:2), NextExecution: (1/17/2023 2:50:00 AM) |url: |action: 
2023-01-17 09:46:57.3428||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c6392b1e has started in 30.7627 ms |url: |action: 
2023-01-17 09:46:57.3850||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c64c3ccc has started in 60.995 ms |url: |action: 
2023-01-17 09:46:57.4377||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:75213637 has started in 113.6676 ms |url: |action: 
2023-01-17 09:46:57.4377||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:4ab2f4a3 has started in 120.737 ms |url: |action: 
2023-01-17 09:46:57.4799||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 61 outdated record(s) from 'counter' table. |url: |action: 
2023-01-17 09:46:57.5201||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f227260d has started in 196.071 ms |url: |action: 
2023-01-17 09:46:57.6215||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f38177b1 has started in 297.5316 ms |url: |action: 
2023-01-17 09:46:57.6835||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:614ac559 has started in 359.5284 ms |url: |action: 
2023-01-17 09:46:57.7071||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7ccb0aed has started in 383.0528 ms |url: |action: 
2023-01-17 09:46:57.7500||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e76f1802 has started in 425.9815 ms |url: |action: 
2023-01-17 09:46:57.8350||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-01-17 09:46:57.8350||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-01-17 09:46:57.8350||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-01-17 09:46:57.8350||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-01-17 09:46:57.8425||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:30
    Schedule polling interval: 00:00:15 |url: |action: 
2023-01-17 09:46:57.8698||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1eebc88b has started in 545.8269 ms |url: |action: 
2023-01-17 09:46:57.8820||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:958efc24 has started in 558.0014 ms |url: |action: 
2023-01-17 09:46:57.8820||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:d712a647 has started in 32.9009 ms |url: |action: 
2023-01-17 09:46:57.8888||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:016a9e03 is announcing itself... |url: |action: 
2023-01-17 09:46:57.8888||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:016a9e03 successfully announced in 3.2575 ms |url: |action: 
2023-01-17 09:46:57.8888||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:483fd1b6 has started in 578.5624 ms |url: |action: 
2023-01-17 09:46:57.9133||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:1684:016a9e03 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2023-01-17 09:46:57.9302||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:af01dc5b has started in 37.0336 ms |url: |action: 
2023-01-17 09:46:57.9302||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:691643a2 has started in 606.8827 ms |url: |action: 
2023-01-17 09:46:57.9302||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8f0ba55d has started in 606.8677 ms |url: |action: 
2023-01-17 09:46:57.9358||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:bc90e2d6 has started in 610.0201 ms |url: |action: 
2023-01-17 09:46:57.9358||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:1684:016a9e03 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-01-17 09:46:57.9358||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:18f9d61c has started in 624.9894 ms |url: |action: 
2023-01-17 09:46:57.9528||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:ee3029c7 has started in 22.9635 ms |url: |action: 
2023-01-17 09:46:57.9528||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:abd6cc06 has started in 24.6717 ms |url: |action: 
