2022-12-29 08:45:22.0928||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2022-12-29 08:45:22.2081||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2022-12-29 08:45:23.2115||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2022-12-29 08:45:23.3074||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2022-12-29 08:45:23.3074||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2022-12-29 08:45:23.3211||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2022-12-29 08:45:23.3211||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2022-12-29 08:45:23.3546||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:4c9d2986 has started in 22.2526 ms |url: |action: 
2022-12-29 08:45:23.3921||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:16488:4b7d6ae7 is announcing itself... |url: |action: 
2022-12-29 08:45:23.5360||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:16488:4b7d6ae7 successfully announced in 140.8344 ms |url: |action: 
2022-12-29 08:45:23.5757||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:949c28b4 has started in 23.255 ms |url: |action: 
2022-12-29 08:45:23.5789||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:16488:4b7d6ae7 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2022-12-29 08:45:23.6097||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:16488:4b7d6ae7 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2022-12-29 08:45:23.6260||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:28340254 has started in 22.8128 ms |url: |action: 
2022-12-29 08:45:23.6260||TRACE|Hangfire.RecurringJobManager|Recurring job 'StatusTask' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/59 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"UpdateStatusTask","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2022-12-29T01:45:23.4321688Z;NextExecution:2022-12-29T01:59:00.0000000Z;V:2), NextExecution: (12/29/2022 1:59:00 AM) |url: |action: 
2022-12-29 08:45:23.6260||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout |url: |action: 
2022-12-29 08:45:23.6586||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:e2cf14a0 has started in 24.4966 ms |url: |action: 
2022-12-29 08:45:23.6586||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... |url: |action: 
2022-12-29 08:45:23.6586||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 1 outdated record(s) from 'counter' table. |url: |action: 
2022-12-29 08:45:23.6586||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:8220dacf has started in 48.2884 ms |url: |action: 
2022-12-29 08:45:23.6723||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2022-12-29 08:45:23.6723||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2022-12-29 08:45:23.6946||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:38f1c9a4 has started in 59.2718 ms |url: |action: 
2022-12-29 08:45:23.6946||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:880ac09d has started in 59.272 ms |url: |action: 
2022-12-29 08:45:23.7379||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5b97f97b has started in 102.6492 ms |url: |action: 
2022-12-29 08:45:23.8110||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c379ff88 has started in 175.7029 ms |url: |action: 
2022-12-29 08:45:23.8714||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:daffa8cb has started in 236.1177 ms |url: |action: 
2022-12-29 08:45:23.8943||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:103535ac has started in 258.9585 ms |url: |action: 
2022-12-29 08:45:23.9393||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:37c3c0e9 has started in 304.007 ms |url: |action: 
2022-12-29 08:45:24.1283||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b04c460a has started in 492.9855 ms |url: |action: 
2022-12-29 08:45:24.1849||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:07ecc519 has started in 549.3721 ms |url: |action: 
2022-12-29 08:45:24.2312||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2bd739f1 has started in 595.9265 ms |url: |action: 
2022-12-29 08:45:24.3000||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2f01e361 has started in 664.6503 ms |url: |action: 
2022-12-29 08:45:24.3282||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e0c7d80c has started in 699.7258 ms |url: |action: 
