2022-12-14 08:48:19.1643||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2022-12-14 08:48:19.6522||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2022-12-14 08:48:21.6681||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2022-12-14 08:48:21.8047||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2022-12-14 08:48:21.9401||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2022-12-14 08:48:22.0109||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2022-12-14 08:48:22.0109||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2022-12-14 08:48:22.0731||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:3c502fa1 has started in 27.5533 ms |url: |action: 
2022-12-14 08:48:22.1110||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:14436:2f6bb1be is announcing itself... |url: |action: 
2022-12-14 08:48:22.2315||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:14436:2f6bb1be successfully announced in 119.241 ms |url: |action: 
2022-12-14 08:48:22.2315||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:6e8fefd5 has started in 7.9636 ms |url: |action: 
2022-12-14 08:48:22.2315||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:14436:2f6bb1be is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2022-12-14 08:48:22.2511||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:adc9fc80 has started in 7.0688 ms |url: |action: 
2022-12-14 08:48:22.2511||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:79c65877 has started in 7.5144 ms |url: |action: 
2022-12-14 08:48:22.2511||TRACE|Hangfire.RecurringJobManager|Recurring job 'StatusTask' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/59 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"UpdateStatusTask","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2022-12-14T01:48:22.1528781Z;NextExecution:2022-12-14T01:59:00.0000000Z;V:2), NextExecution: (12/14/2022 1:59:00 AM) |url: |action: 
2022-12-14 08:48:22.2511||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:cdb3933c has started in 5.2505 ms |url: |action: 
2022-12-14 08:48:22.2511||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2022-12-14 08:48:22.2511||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:14436:2f6bb1be waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2022-12-14 08:48:22.2667||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout |url: |action: 
2022-12-14 08:48:22.2667||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:0ff74a88 has started in 15.1516 ms |url: |action: 
2022-12-14 08:48:22.2784||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:842c1b86 has started in 26.0878 ms |url: |action: 
