2023-02-22 10:43:42.8735||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:42.8735||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:42.9053||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:42.9053||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:47.8915||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:47.8915||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:47.9226||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:47.9226||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:51.0853||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:a1b0768f heartbeat successfully sent |url: |action: 
2023-02-22 10:43:51.0853||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:a1b0768f waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-22 10:43:51.7091||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:e98124ca heartbeat successfully sent |url: |action: 
2023-02-22 10:43:51.7091||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:e98124ca waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-22 10:43:52.9205||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:52.9205||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:52.9363||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:52.9363||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:57.9234||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:57.9234||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:43:57.9394||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:43:57.9394||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:02.9335||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:02.9353||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:02.9353||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:02.9507||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:07.2930||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Deadline' is being updated. RecurringJob: (LastExecution:2023-02-22T03:43:07.2048174Z;LastJobId:12400;Queue:default;Cron:* * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-02-22T03:41:50.9624781Z;V:2;NextExecution:2023-02-22T03:44:00.0000000Z), Changes: (LastExecution:2023-02-22T03:44:07.2842420Z;NextExecution:2023-02-22T03:45:00.0000000Z;LastJobId:12401), NextExecution: (2/22/2023 3:45:00 AM) |url: |action: 
2023-02-22 10:44:07.2988||DEBUG|Hangfire.Server.RecurringJobScheduler|1 recurring job(s) processed by scheduler. |url: |action: 
2023-02-22 10:44:07.9392||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:07.9392||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:07.9631||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:07.9631||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:12.9577||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:12.9577||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:12.9890||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:12.9890||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:17.9633||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:17.9633||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:17.9954||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:17.9971||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:21.1201||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:a1b0768f heartbeat successfully sent |url: |action: 
2023-02-22 10:44:21.1201||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:a1b0768f waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-22 10:44:21.7382||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:e98124ca heartbeat successfully sent |url: |action: 
2023-02-22 10:44:21.7382||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:26992:e98124ca waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-22 10:44:22.9678||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:22.9678||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:22.9981||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:22.9981||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:27.9783||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:27.9783||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:28.0092||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:28.0092||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:32.9888||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-22 10:44:32.9888||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-22 10:44:33.0196||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
