2022-12-06 14:57:19.2342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:24.2449||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:24.2449||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:24.2547||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:24.2547||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:29.2630||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:29.2630||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:29.2630||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:29.2630||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:31.6849||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 heartbeat successfully sent 
2022-12-06 14:57:31.6849||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 heartbeat successfully sent 
2022-12-06 14:57:31.6849||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:57:31.6849||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:57:34.2856||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:34.2856||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:34.2856||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:34.2856||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:39.3044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:39.3044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:39.3274||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:39.3274||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:44.3218||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:44.3218||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:44.3378||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:44.3378||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:49.3298||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:49.3298||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:49.3457||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:49.3457||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:54.3342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:54.3342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:54.3507||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:54.3507||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:59.3543||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:59.3543||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:59.3543||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:59.3553||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:01.6990||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 heartbeat successfully sent 
2022-12-06 14:58:01.6990||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 heartbeat successfully sent 
2022-12-06 14:58:01.6996||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:58:01.6996||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:58:04.3662||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:04.3662||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:04.3662||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:04.3662||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:09.3717||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:09.3717||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:09.3717||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:09.3717||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:14.3819||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:14.3819||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:14.3819||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:14.3819||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:19.3927||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:19.3927||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:19.3927||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:19.3927||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:24.3974||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:24.3974||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:24.3974||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:24.3974||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:29.4044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:29.4044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:58:29.4044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:29.4044||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:58:31.7155||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 heartbeat successfully sent 
2022-12-06 14:58:31.7155||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 heartbeat successfully sent 
