2022-12-06 14:56:31.6729||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:31.6729||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:31.6729||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:ec678f28 has started in 12.6312 ms 
2022-12-06 14:56:31.6868||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:35bf74b7 has started in 21.8221 ms 
2022-12-06 14:56:31.6868||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:31.6868||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:31.6868||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:af692829 has started in 20.6853 ms 
2022-12-06 14:56:31.6868||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... 
2022-12-06 14:56:31.6868||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'counter'... 
2022-12-06 14:56:31.7007||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:93dd9579 has started in 27.933 ms 
2022-12-06 14:56:31.7007||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2200c6b8 has started in 35.5309 ms 
2022-12-06 14:56:31.7007||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:186d7d87 has started in 35.4663 ms 
2022-12-06 14:56:31.7151||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ae11853b has started in 42.366 ms 
2022-12-06 14:56:31.7151||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 29 outdated record(s) from 'counter' table. 
2022-12-06 14:56:31.7151||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'job'... 
2022-12-06 14:56:31.7508||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e35300ab has started in 77.9945 ms 
2022-12-06 14:56:31.7508||INFO|Hangfire.PostgreSql.ExpirationManager|Removed 29 outdated record(s) from 'job' table. 
2022-12-06 14:56:31.7508||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f942c221 has started in 78.5153 ms 
2022-12-06 14:56:31.7901||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:a3689b06 has started in 117.0255 ms 
2022-12-06 14:56:31.8321||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:d0920bc8 has started in 159.3753 ms 
2022-12-06 14:56:31.8869||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:afee72c7 has started in 213.5273 ms 
2022-12-06 14:56:31.9554||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b6be415e has started in 281.5617 ms 
2022-12-06 14:56:31.9554||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:4f5c17bc has started in 288.6774 ms 
2022-12-06 14:56:31.9753||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:434396d1 has started in 302.511 ms 
2022-12-06 14:56:31.9753||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:60a54171 has started in 302.5109 ms 
2022-12-06 14:56:31.9753||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:9c646f94 has started in 304.0122 ms 
2022-12-06 14:56:32.0047||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f35e4135 has started in 331.3755 ms 
2022-12-06 14:56:32.0452||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7f939e1a has started in 372.4542 ms 
2022-12-06 14:56:32.0592||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5da1d261 has started in 386.4692 ms 
2022-12-06 14:56:32.1094||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:eb0f9996 has started in 436.6749 ms 
2022-12-06 14:56:32.1409||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b23377c4 has started in 468.1196 ms 
2022-12-06 14:56:32.2393||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:bd929556 has started in 566.5224 ms 
2022-12-06 14:56:32.2736||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b7baf9a1 has started in 600.8472 ms 
2022-12-06 14:56:32.3084||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b8412fc3 has started in 635.6019 ms 
2022-12-06 14:56:32.3269||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:00a536d4 has started in 654.1577 ms 
2022-12-06 14:56:32.3505||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c3ac87ba has started in 677.7759 ms 
2022-12-06 14:56:32.3505||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7a0bc676 has started in 682.1373 ms 
2022-12-06 14:56:32.3632||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:74a6fda0 has started in 690.4324 ms 
2022-12-06 14:56:32.3632||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:7ea18d3d has started in 694.5832 ms 
2022-12-06 14:56:32.3784||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f681610b has started in 705.6341 ms 
2022-12-06 14:56:32.3784||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:bba68038 has started in 711.2026 ms 
2022-12-06 14:56:32.3905||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8c8f3a12 has started in 717.4606 ms 
2022-12-06 14:56:32.3905||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:dc926663 has started in 722.8667 ms 
2022-12-06 14:56:32.4049||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5fa0451b has started in 728.9701 ms 
2022-12-06 14:56:32.4049||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:95948345 has started in 737.3536 ms 
2022-12-06 14:56:32.4049||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:e6a443b1 all the dispatchers started 
2022-12-06 14:56:32.4049||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:23e50cff has started in 744.3133 ms 
2022-12-06 14:56:32.4049||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e635c850 has started in 743.3832 ms 
2022-12-06 14:56:32.4217||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:5966787a has started in 747.8179 ms 
2022-12-06 14:56:32.4217||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:d740bce7 has started in 36.2417 ms 
2022-12-06 14:56:32.4217||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:76990ec7 has started in 758.8732 ms 
2022-12-06 14:56:32.4412||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:3c4e3103 has started in 35.6369 ms 
2022-12-06 14:56:32.4412||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:5c3d3c80 has started in 37.8898 ms 
2022-12-06 14:56:32.4412||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:be330f61 all the dispatchers started 
2022-12-06 14:56:32.4530||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:4e5b9def has started in 31.1678 ms 
2022-12-06 14:56:32.4530||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:fafd57a5 has started in 785.6406 ms 
2022-12-06 14:56:32.4653||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f4944c06 has started in 792.4877 ms 
2022-12-06 14:56:32.7322||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'job'... 
2022-12-06 14:56:32.7322||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'list'... 
2022-12-06 14:56:32.7322||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'set'... 
2022-12-06 14:56:32.7322||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'hash'... 
2022-12-06 14:56:32.7622||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'list'... 
2022-12-06 14:56:32.7622||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'set'... 
2022-12-06 14:56:32.7622||DEBUG|Hangfire.PostgreSql.ExpirationManager|Removing outdated records from table 'hash'... 
2022-12-06 14:56:33.6782|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 2091.0067ms 404  
2022-12-06 14:56:36.6972||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:36.6972||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:36.6972||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:36.6972||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:41.7119||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:41.7119||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:41.7119||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:41.7119||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:46.7184||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:46.7184||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:46.7184||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:46.7184||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:51.7346||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:51.7346||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:51.7346||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:51.7346||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:56.7445||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:56.7445||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:56.7445||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:59.2069||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:01.6743||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 heartbeat successfully sent 
2022-12-06 14:57:01.6743||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 heartbeat successfully sent 
2022-12-06 14:57:01.6743||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:57:01.6743||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:57:04.2163||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:04.2163||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:04.2163||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:04.2163||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:09.2265||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:09.2265||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:09.2265||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:09.2265||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:14.2294||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:14.2294||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:14.2304||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:14.2304||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:57:19.2342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:19.2342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:57:19.2342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
